pkey,pkey_cat,icd9_code,icd10_code,flags
01136-A155,icd9-icd10,01136,A155,10000
01140-A150,icd9-icd10,01140,A150,10000
01141-A150,icd9-icd10,01141,A150,10000
01142-A150,icd9-icd10,01142,A150,10000
01143-A150,icd9-icd10,01143,A150,10000
01144-A150,icd9-icd10,01144,A150,10000
01145-A150,icd9-icd10,01145,A150,10000
01146-A150,icd9-icd10,01146,A150,10000
01150-A150,icd9-icd10,01150,A150,10000
01151-A150,icd9-icd10,01151,A150,10000
01152-A150,icd9-icd10,01152,A150,10000
01153-A150,icd9-icd10,01153,A150,10000
01154-A150,icd9-icd10,01154,A150,10000
01155-A150,icd9-icd10,01155,A150,10000
01156-A150,icd9-icd10,01156,A150,10000
01160-A150,icd9-icd10,01160,A150,10000
01161-A150,icd9-icd10,01161,A150,10000
01162-A150,icd9-icd10,01162,A150,10000
01163-A150,icd9-icd10,01163,A150,10000
01164-A150,icd9-icd10,01164,A150,10000
01165-A150,icd9-icd10,01165,A150,10000
01166-A150,icd9-icd10,01166,A150,10000
01170-A150,icd9-icd10,01170,A150,10000
01171-A150,icd9-icd10,01171,A150,10000
01172-A150,icd9-icd10,01172,A150,10000
01173-A150,icd9-icd10,01173,A150,10000
01174-A150,icd9-icd10,01174,A150,10000
01175-A150,icd9-icd10,01175,A150,10000
01176-A150,icd9-icd10,01176,A150,10000
01180-A150,icd9-icd10,01180,A150,10000
01181-A150,icd9-icd10,01181,A150,10000
01182-A150,icd9-icd10,01182,A150,10000
01183-A150,icd9-icd10,01183,A150,10000
01184-A150,icd9-icd10,01184,A150,10000
01185-A150,icd9-icd10,01185,A150,10000
01186-A150,icd9-icd10,01186,A150,10000
01190-A150,icd9-icd10,01190,A150,10000
01191-A150,icd9-icd10,01191,A150,10000
01192-A150,icd9-icd10,01192,A150,10000
01193-A150,icd9-icd10,01193,A150,10000
01194-A150,icd9-icd10,01194,A150,10000
01195-A150,icd9-icd10,01195,A150,10000
01196-A150,icd9-icd10,01196,A150,10000
01200-A156,icd9-icd10,01200,A156,10000
01201-A156,icd9-icd10,01201,A156,10000
01202-A156,icd9-icd10,01202,A156,10000
01203-A156,icd9-icd10,01203,A156,10000
01204-A156,icd9-icd10,01204,A156,10000
01205-A156,icd9-icd10,01205,A156,10000
01206-A156,icd9-icd10,01206,A156,10000
01210-A154,icd9-icd10,01210,A154,10000
01211-A154,icd9-icd10,01211,A154,10000
01212-A154,icd9-icd10,01212,A154,10000
01213-A154,icd9-icd10,01213,A154,10000
01214-A154,icd9-icd10,01214,A154,10000
01215-A154,icd9-icd10,01215,A154,10000
01216-A154,icd9-icd10,01216,A154,10000
01220-A155,icd9-icd10,01220,A155,10000
01221-A155,icd9-icd10,01221,A155,10000
01222-A155,icd9-icd10,01222,A155,10000
01223-A155,icd9-icd10,01223,A155,10000
01224-A155,icd9-icd10,01224,A155,10000
01225-A155,icd9-icd10,01225,A155,10000
01226-A155,icd9-icd10,01226,A155,10000
01230-A155,icd9-icd10,01230,A155,10000
01231-A155,icd9-icd10,01231,A155,10000
01232-A155,icd9-icd10,01232,A155,10000
01233-A155,icd9-icd10,01233,A155,10000
01234-A155,icd9-icd10,01234,A155,10000
01235-A155,icd9-icd10,01235,A155,10000
01236-A155,icd9-icd10,01236,A155,10000
01280-A158,icd9-icd10,01280,A158,10000
01281-A158,icd9-icd10,01281,A158,10000
01282-A158,icd9-icd10,01282,A158,10000
01283-A158,icd9-icd10,01283,A158,10000
01284-A158,icd9-icd10,01284,A158,10000
01285-A158,icd9-icd10,01285,A158,10000
01286-A158,icd9-icd10,01286,A158,10000
01300-A170,icd9-icd10,01300,A170,10000
01301-A170,icd9-icd10,01301,A170,10000
01302-A170,icd9-icd10,01302,A170,10000
01303-A170,icd9-icd10,01303,A170,10000
